City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,namibe,-15.1961,12.1522,66.88,89,42,10.85,AO,1693417970
1,adamstown,-25.066,-130.1015,70.16,90,99,20.4,PN,1693417970
2,petropavlovsk-kamchatsky,53.0452,158.6483,45.19,100,0,6.71,RU,1693417970
3,invercargill,-46.4,168.35,48.02,72,76,10.0,NZ,1693417970
4,talnakh,69.4865,88.3972,45.21,79,30,2.24,RU,1693417970
5,albany,42.6001,-73.9662,77.18,67,30,3.0,US,1693417349
6,borba,-4.3878,-59.5939,104.79,20,2,3.33,BR,1693417970
7,la ronge,55.1001,-105.2842,68.25,68,75,4.61,CA,1693417971
8,waitangi,-43.9535,-176.5597,52.11,63,79,9.44,NZ,1693417971
9,west island,-12.1568,96.8225,76.98,88,40,5.75,CC,1693417972
10,hawaiian paradise park,19.5933,-154.9731,76.03,96,100,5.75,US,1693417972
11,port-aux-francais,-49.35,70.2167,34.95,97,100,36.01,TF,1693417972
12,palikir - national government center,6.9248,158.1611,82.08,75,100,3.91,FM,1693417973
13,kodiak,57.79,-152.4072,51.31,100,100,11.5,US,1693417973
14,port blair,11.6667,92.75,80.64,89,40,4.61,IN,1693417837
15,arraial do cabo,-22.9661,-42.0278,75.16,78,40,12.66,BR,1693417973
16,cidreira,-30.1811,-50.2056,64.26,73,1,7.78,BR,1693417746
17,bilibino,68.0546,166.4372,46.99,95,100,4.34,RU,1693417973
18,edinburgh of the seven seas,-37.0676,-12.3116,52.66,69,30,19.91,SH,1693417973
19,chonchi,-42.6128,-73.8092,50.13,68,42,9.62,CL,1693417973
20,ilulissat,69.2167,-51.1,41.02,87,75,2.3,GL,1693417973
21,ormond-by-the-sea,29.3491,-81.0665,86.02,94,75,19.57,US,1693417973
22,nagtipunan,16.2167,121.6,75.58,89,100,4.45,PH,1693417974
23,ushuaia,-54.8,-68.3,40.66,75,20,2.3,AR,1693417875
24,margaret river,-33.95,115.0667,49.21,87,7,9.53,AU,1693417974
25,blackmans bay,-43.0167,147.3167,49.73,73,100,9.06,AU,1693417974
26,yellowknife,62.456,-114.3525,64.92,63,100,6.91,CA,1693417974
27,pokhara,28.2333,83.9833,71.49,90,34,4.0,NP,1693417974
